target_lines,plate_id
U22-912076,G-6_Mips22.Master7_G-6_Mips22.Master7
U22-912078,F-9_Mips22.Master22_F-9_Mips22.Master22
U22-912079,H-4_Mips22.Master10_H-4_Mips22.Master10
U22-912080,D-7_Mips22.Master10_D-7_Mips22.Master10
U22-912082,E-12_Mips22.Master11_E-12_Mips22.Master11
U22-912083,A-12_Mips22.Master18_A-12_Mips22.Master18
U22-912085,E-3_Mips22.Master19_E-3_Mips22.Master19
U22-912087,D-3_Mips22.Master6_D-3_Mips22.Master6
U22-912089,F-6_Mips22.Master17_F-6_Mips22.Master17
U22-912092,D-6_Mips22.Master6_D-6_Mips22.Master6
U22-913002,C-12_Mips22.Master6_C-12_Mips22.Master6
U22-913008,B-5_Mips22.Master18_B-5_Mips22.Master18
U22-913010,E-9_Mips22.Master9_E-9_Mips22.Master9
U22-913012,F-9_Mips22.Master38_F-9_Mips22.Master38
U22-913014,D-5_Mips22.Master17_D-5_Mips22.Master17
U22-913017,H-5_Mips22.Master18_H-5_Mips22.Master18
U22-913018,H-2_Mips22.Master16_H-2_Mips22.Master16
U22-913020,E-11_Mips22.Master10_E-11_Mips22.Master10
U22-913022,F-3_Mips22.Master6_F-3_Mips22.Master6
U22-913024,E-6_Mips22.Master16_E-6_Mips22.Master16
U22-913027,B-7_Mips22.Master18_B-7_Mips22.Master18
U22-913029,G-3_Mips22.Master8_G-3_Mips22.Master8
U22-913032,C-1_Mips22.Master11_C-1_Mips22.Master11
U22-913034,G-12_Mips22.Master9_G-12_Mips22.Master9
U22-913036,B-12_Mips22.Master38_B-12_Mips22.Master38
U22-913037,F-9_Mips22.Master17_F-9_Mips22.Master17
U22-913038,A-9_Mips22.Master11_A-9_Mips22.Master11
U22-913039,H-7_Mips22.Master10_H-7_Mips22.Master10
U22-913040,B-5_Mips22.Master16_B-5_Mips22.Master16
U22-913041,G-9_Mips22.Master11_G-9_Mips22.Master11
U22-913042,E-3_Mips22.Master38_E-3_Mips22.Master38
U22-913044,H-11_Mips22.Master2_H-11_Mips22.Master2
U22-913049,C-12_Mips22.Master38_C-12_Mips22.Master38
U22-913050,F-11_Mips22.Master21_F-11_Mips22.Master21
U22-913051,C-8_Mips22.Master9_C-8_Mips22.Master9
U22-913055,C-1_Mips22.Master8_C-1_Mips22.Master8
U22-913058,C-11_Mips22.Master11_C-11_Mips22.Master11
U22-913062,G-8_Mips22.Master7_G-8_Mips22.Master7
U22-913063,A-2_Mips22.Master17_A-2_Mips22.Master17
U22-913064,F-11_Mips22.Master18_F-11_Mips22.Master18
U22-913065,B-6_Mips22.Master19_B-6_Mips22.Master19
U22-913066,G-7_Mips22.Master20_G-7_Mips22.Master20
U22-913067,H-7_Mips22.Master19_H-7_Mips22.Master19
U22-913071,F-3_Mips22.Master17_F-3_Mips22.Master17
U22-913076,F-1_Mips22.Master11_F-1_Mips22.Master11
U22-913077,H-12_Mips22.Master10_H-12_Mips22.Master10
U22-913078,F-8_Mips22.Master38_F-8_Mips22.Master38
U22-913080,D-8_Mips22.Master19_D-8_Mips22.Master19
U22-913083,H-4_Mips22.Master22_H-4_Mips22.Master22
U22-913085,A-9_Mips22.Master18_A-9_Mips22.Master18
U22-913086,G-3_Mips22.Master20_G-3_Mips22.Master20
U22-913087,G-4_Mips22.Master17_G-4_Mips22.Master17
U22-913090,G-11_Mips22.Master2_G-11_Mips22.Master2
U22-913091,F-10_Mips22.Master8_F-10_Mips22.Master8
U22-913092,D-9_Mips22.Master21_D-9_Mips22.Master21
U22-914004,G-1_Mips22.Master23_G-1_Mips22.Master23
U22-914006,G-8_Mips22.Master19_G-8_Mips22.Master19
U22-914012,E-6_Mips22.Master10_E-6_Mips22.Master10
U22-914013,G-4_Mips22.Master38_G-4_Mips22.Master38
U22-914015,G-3_Mips22.Master6_G-3_Mips22.Master6
U22-914016,G-12_Mips22.Master7_G-12_Mips22.Master7
U22-914019,H-10_Mips22.Master23_H-10_Mips22.Master23
U22-914021,E-7_Mips22.Master18_E-7_Mips22.Master18
U22-914025,C-12_Mips22.Master11_C-12_Mips22.Master11
U22-914026,D-3_Mips22.Master11_D-3_Mips22.Master11
U22-914027,B-6_Mips22.Master23_B-6_Mips22.Master23
U22-914029,E-12_Mips22.Master18_E-12_Mips22.Master18
U22-914030,A-8_Mips22.Master16_A-8_Mips22.Master16
U22-914033,H-12_Mips22.Master20_H-12_Mips22.Master20
U22-914036,E-1_Mips22.Master10_E-1_Mips22.Master10
U22-914037,F-7_Mips22.Master7_F-7_Mips22.Master7
U22-914039,G-12_Mips22.Master18_G-12_Mips22.Master18
