probIn scale
0.04853968 0.04727684
0.03601356 0.05273768
0.02745596 0.04696053
0.03265864 0.05116613
0.02962236 0.05794146
0.04139055 0.06249365
0.02351483 0.06494327
0.02240525 0.05292906
0.02415889 0.05081375
0.03078762 0.050047
0.02027036 0.05449269
0.02418435 0.05619072
0.04384639 0.05683368
0.02336792 0.06256319
0.03693277 0.06031187
0.03193763 0.05141404
0.03326656 0.05354977
0.02726997 0.05345449
0.02090521 0.05832564
0.0228533 0.05912578
0.02349259 0.05626882
0.0346183 0.05251625
0.02277022 0.04539023
0.03057634 0.04959091
0.03347232 0.05071619
0.03087277 0.04987634
0.03012448 0.05077665
0.02487753 0.04886867
0.02966191 0.04889377
0.02174673 0.05232958
0.02872643 0.05220803
0.03240645 0.05111028
0.03100956 0.05404413
0.02447985 0.05602206
0.02231998 0.05191261
0.04031379 0.04733318
0.0157661 0.04681669
0.03104751 0.04473574
0.0172061 0.04462426
0.02302634 0.04790469
0.0325461 0.05017768
0.03278085 0.05343404
0.02726218 0.05190342
0.01868445 0.04324613
0.02429095 0.03942993
0.0479851 0.04860313
0.02730414 0.05688051
0.0270128 0.05606009
0.03045493 0.05258371
0.02396842 0.05639922
0.0135 0.05590817
0.02483436 0.04796182
0.02485889 0.04309912
0.02713796 0.04430885
0.0368057 0.04039709
0.03926202 0.04426683
0.03126076 0.04002667
0.04014158 0.04108603
0.03637573 0.03753222
0.02449604 0.03964457
0.03056085 0.04220032
0.02823172 0.04639336
0.02649173 0.04497067
0.03682812 0.04157942
0.0396377 0.04005393
0.04526997 0.04042642
0.01855952 0.03758333
0.0419121 0.03496138
0.05914114 0.03167253
0.02652833 0.03367767
0.03402159 0.0359987
0.03677122 0.03589982
0.04414815 0.03122848
0.04643796 0.0334216
0.03160884 0.02924729
0.03338946 0.02612011
0.03330841 0.02674565
0.06114665 0.02725434
0.03494506 0.0210778
0.04326269 0.01988337
0.04392586 0.01945053
0.05563098 0.01970556
0.04865622 0.01876167
0.04243812 0.01648524
0.0701418 0.01714167
0.0352066 0.02020578
0.03779326 0.0209149
0.03003329 0.02248432
0.04111831 0.02265652
0.0324597 0.02478457
0.0357686 0.02463512
0.04097948 0.02435096
0.03650318 0.02474904
0.03647687 0.02231233
0.03771351 0.02315512
0.04264423 0.02369177
0.07209653 0.02309516
0.03298541 0.0255493
0.03375332 0.0249921
0.042506 0.02432527
0.04074794 0.02339171
0.04796241 0.02238787
0.02505642 0.02709929
0.03717789 0.02500004
0.06271439 0.02451141
0.03291745 0.02356283
0.04358187 0.02390125
0.05483996 0.0271239
0.04954221 0.02454156
0.04547149 0.02615383
0.03368253 0.02513092
0.08046341 0.02187246
0.04670519 0.02308556
0.03282293 0.02770496
0.02348051 0.02670636
0.04724285 0.02648311
0.02515446 0.0325303
0.03072597 0.02949511
0.04622267 0.02972512
0.02732968 0.02800384
0.02511782 0.0290969
0.0534695 0.02900486
0.02315414 0.03356232
0.0330511 0.0325487
0.02471947 0.03670276
0.02949122 0.04090675
0.02601807 0.03740828
0.03159034 0.0385774
0.03443946 0.03929367
0.02467226 0.036701
0.03865795 0.03921474
0.04008049 0.03854493
0.03430729 0.04115426
0.03895199 0.0404171
0.03820603 0.03701094
0.01992001 0.03380282
0.05021127 0.03122654
0.02667709 0.02985003
0.03902659 0.03649083
0.04173883 0.03371065
0.03628028 0.0292278
0.0281547 0.03631382
0.02784142 0.03459782
0.0362091 0.03615555
0.02025719 0.03636359
0.02625253 0.03873899
0.04249621 0.03536705
0.0302329 0.03280909
0.04329128 0.03579775
0.04813823 0.03709477
0.03583496 0.03903098
0.03381329 0.04253649
0.03756222 0.04552304
0.03336425 0.04404676
0.02075045 0.04870882
0.02254631 0.05092216
0.02157855 0.04837905
0.02898565 0.05232266
0.0306141 0.05691244
0.0207208 0.05600644
0.0192595 0.05865976
0.04420685 0.0474542
0.03333251 0.04272857
0.02202257 0.04313383
0.03738137 0.04499991
0.02129443 0.04825998
0.02358713 0.03914729
0.02826745 0.03690341
0.02550149 0.03491738
0.03650699 0.03780383
0.03890032 0.03730934
0.02415057 0.0369124
0.02289796 0.03465474
0.03266557 0.03529542
0.02340808 0.03490512
0.04033412 0.03362666
0.0220773 0.03216835
0.04727087 0.02931995
0.02977351 0.03058564
0.0299617 0.02802739
0.03650263 0.02691245
0.07355314 0.02575646
0.03553424 0.02580367
0.03664911 0.02806232
0.04969058 0.02511611
0.04638332 0.02442479
0.05873514 0.02455235
0.04755636 0.02364794
0.03034014 0.02448559
0.03298289 0.02694008
0.04611726 0.02880436
0.04342992 0.02712543
0.04334527 0.02691526
0.04898465 0.02873561
0.03394795 0.03223887
0.02892948 0.02723777
0.03227644 0.02948
0.03195406 0.0297368
0.04188885 0.03294944
0.02954181 0.03210516
0.0421247 0.03558873
0.03247781 0.03511553
0.03903232 0.03328251
0.04692939 0.03042092
0.0231992 0.02941164
0.04408158 0.0315051
0.03015408 0.0291346
0.0339155 0.03135712
0.04171644 0.03217505
0.03362908 0.03449389
0.03191189 0.03414637
0.03735898 0.02942454
0.03096149 0.02605259
0.03931024 0.02914216
0.04326041 0.02652511
0.03534022 0.02909914
0.01565415 0.02958915
0.05029588 0.02793731
0.02460188 0.02710906
0.03134251 0.02507158
0.03596653 0.0250402
0.02663934 0.02347384
0.0318208 0.02399563
0.05215107 0.02501167
0.02548041 0.02668032
0.05883757 0.0266429
0.04658429 0.02696015
0.02800561 0.02555565
0.0247223 0.02758062
0.03389812 0.02575871
0.05311359 0.02388623
0.05271351 0.02300825
0.03637552 0.0237722
0.03759205 0.0213818
0.05916077 0.02030932
0.05281367 0.01927594
0.0458763 0.01929348
0.04163678 0.02153992
0.05435051 0.01980325
0.03876511 0.02008642
0.03727043 0.01860106
0.06669825 0.02060812
0.05752892 0.01856242
0.09445289 0.01711037
0.04931026 0.01625157
0.04086677 0.01719742
0.04313972 0.01682147
0.05559334 0.01710135
0.06371265 0.01604029
0.03907029 0.01710722
0.05725644 0.01696294
0.04678298 0.01594397
0.04135451 0.01673386
0.04945764 0.01848615
0.06350918 0.01998617
0.06093448 0.0202588
0.05412549 0.02255507
0.04801581 0.02625659
0.03825899 0.0239926
0.04087613 0.02524721
0.04233183 0.02350481
0.04234834 0.02168047
0.07147971 0.02121043
0.05501334 0.02164104
0.0404847 0.02263786
0.04098213 0.02419554
0.04700753 0.02449826
0.03069039 0.02560573
0.04832158 0.02563958
0.04258581 0.02554467
0.05346499 0.02549815
0.05080604 0.02383117
0.0523653 0.02127086
0.03612839 0.01775331
0.03889462 0.01704899
0.03767855 0.01823763
0.04505568 0.01710475
0.04674919 0.01591788
0.05326163 0.01408389
0.07073769 0.01599593
0.07632868 0.01347147
0.06325335 0.01312124
0.0691669 0.01374635
0.05468349 0.01382694
0.04932726 0.01349512
0.08169698 0.01206859
0.07313775 0.01305447
0.06101168 0.01291624
0.02552072 0.01307117
0.04935028 0.01220666
0.0492503 0.01224457
0.05290816 0.01321195
0.05746315 0.01281959
0.06472224 0.01299624
0.06609691 0.01275688
0.06212153 0.01240063
0.06049109 0.01320228
0.06787502 0.01298017
0.04480097 0.0136991
0.04591944 0.01516997
0.0421951 0.01560791
0.05775579 0.01630065
0.06954264 0.0177559
0.02858878 0.01788828
